ad_id,list_id,area,area_name,ward,ward_name,street_name,company_ad,apartment_type,size,rooms,toilets,longitude,latitude,owner,deposit,price_million_per_m2,price
154792903,114033386,103,Quận 8,9455.0,Phường 7,Trịnh Quang Nghị,True,Chung cư,79.0,2,2.0,106.6247,10.7067,False,10000000.0,0.10126582278481001,8000000.0
152349940,111936245,107,Quận 12,9232.0,Phường An Phú Đông,An Phú Đông 10,True,"Căn hộ dịch vụ, mini",38.0,1,1.0,106.6977,10.8542,False,3600000.0,0.09473684210526301,3600000.0
155094837,114295554,111,Quận Phú Nhuận,9327.0,Phường 9,Phổ Quang,True,Chung cư,110.0,3,2.0,106.6719,10.8088,False,42000000.0,0.19090909090909,21000000.0
154944087,114164487,115,Huyện Bình Chánh,9519.0,Xã An Phú Tây,Nguyễn Văn Linh,True,Chung cư,54.0,2,2.0,106.6085,10.6934,False,3500000.0,0.064814814814814,3500000.0
154944097,114164500,109,Quận Bình Thạnh,9283.0,Phường 12,Ngô Đức Kế,True,"Căn hộ dịch vụ, mini",120.0,3,3.0,106.7003,10.8086,False,14500000.0,0.12083333333333302,14500000.0
154793098,114033429,100,Quận 5,9411.0,Phường 4,Trần Phú,True,"Căn hộ dịch vụ, mini",30.0,1,1.0,106.6791,10.7625,False,0.0,0.2,6000000.0
154029710,113378074,107,Quận 12,9228.0,Phường Thạnh Lộc,Dường TL 08,False,Chung cư,62.0,2,1.0,106.6781,10.8568,False,0.0,0.12903225806451601,8000000.0
153724859,113115936,111,Quận Phú Nhuận,9332.0,Phường 8,Đường Hoàng Văn Thụ,True,Duplex,25.0,1,1.0,106.6753,10.7995,False,0.0,0.24,6000000.0
153724868,113115944,111,Quận Phú Nhuận,9332.0,Phường 8,Đường Hoàng Văn Thụ,True,Duplex,28.0,1,1.0,106.6753,10.7995,False,0.0,0.21428571428571402,6000000.0
154793128,114033458,102,Quận 7,9474.0,Phường Tân Phong,Phạm Văn Nghị,True,Penthouse,150.0,3,2.0,106.7067,10.7291,False,0.0,0.15333333333333302,23000000.0
152656372,112198452,102,Quận 7,9473.0,Phường Tân Phú,Phú Thuận,True,Chung cư,70.0,2,2.0,106.731,10.7295,False,0.0,0.192857142857142,13500000.0
154793130,114033463,108,Quận Bình Tân,9458.0,Phường Bình Hưng Hoà B,"Lô 5 Khu dân cư Vĩnh Lộc, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",True,Chung cư,68.0,2,2.0,106.583,10.799900000000001,False,20000000.0,0.14705882352941102,10000000.0
154335351,113640253,112,Quận Tân Bình,9299.0,Phường 2,Yên Thế,True,Chung cư,60.0,1,1.0,106.6686,10.8145,False,10000000.0,0.16666666666666602,10000000.0
154641296,113902399,102,Quận 7,9472.0,Phường Phú Thuận,Đào Trí,True,Chung cư,86.0,3,2.0,106.7433,10.722,False,32000000.0,0.186046511627906,16000000.0
155094907,114295619,102,Quận 7,9473.0,Phường Tân Phú,Phú Thuận,True,Chung cư,132.0,4,3.0,106.731,10.7295,False,34000000.0,0.128787878787878,17000000.0
154944166,114164555,96,Quận 1,9226.0,Phường Cầu Kho,Trần Ðình Xu,True,"Căn hộ dịch vụ, mini",33.0,1,1.0,106.6923,10.7585,False,0.0,0.21212121212121202,7000000.0
152350042,111936335,109,Quận Bình Thạnh,9296.0,Phường 22,Nguyễn Hữu Thọ,True,Chung cư,85.0,2,2.0,106.7109,10.7892,False,0.0,0.23529411764705802,20000000.0
154793157,114033493,108,Quận Bình Tân,9458.0,Phường Bình Hưng Hoà B,Bình Hưng Hòa B,True,Chung cư,68.0,2,2.0,106.583,10.799900000000001,False,10000000.0,0.14705882352941102,10000000.0
153876865,113247079,102,Quận 7,9467.0,Phường Tân Thuận Tây,Đường Lâm Văn Bền,True,Chung cư,65.0,2,2.0,106.7154,10.7451,False,0.0,0.18461538461538402,12000000.0
155094945,114295662,112,Quận Tân Bình,9299.0,Phường 2,Phổ Quang,True,Chung cư,60.0,2,1.0,106.6697,10.8086,False,31000000.0,0.258333333333333,15500000.0
